Week,Rank,Track,Artist,Streams,Track_uri
2021-11-26--2021-12-03,1,Easy On Me,Adele,"7,984,911",https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2021-11-26--2021-12-03,2,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,"7,752,149",https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
2021-11-26--2021-12-03,3,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"6,842,709",https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
2021-11-26--2021-12-03,4,STAY (with Justin Bieber),The Kid LAROI,"6,153,223",https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2021-11-26--2021-12-03,5,Heat Waves,Glass Animals,"6,060,077",https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2021-11-26--2021-12-03,6,All I Want for Christmas Is You,Mariah Carey,"5,939,362",https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2021-11-26--2021-12-03,7,Rockin' Around The Christmas Tree,Brenda Lee,"5,930,242",https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
2021-11-26--2021-12-03,8,White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra","5,731,465",https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
2021-11-26--2021-12-03,9,Jingle Bell Rock,Bobby Helms,"5,690,290",https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
2021-11-26--2021-12-03,10,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic","5,610,573",https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
2021-11-26--2021-12-03,11,abcdefu,GAYLE,"5,550,508",https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2021-11-26--2021-12-03,12,It's the Most Wonderful Time of the Year,Andy Williams,"5,070,980",https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
2021-11-26--2021-12-03,13,Knife Talk (with 21 Savage ft. Project Pat),Drake,"4,827,914",https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
2021-11-26--2021-12-03,14,Oh My God,Adele,"4,754,941",https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
2021-11-26--2021-12-03,15,Need to Know,Doja Cat,"4,432,113",https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
2021-11-26--2021-12-03,16,good 4 u,Olivia Rodrigo,"4,353,909",https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2021-11-26--2021-12-03,17,Way 2 Sexy (with Future & Young Thug),Drake,"4,211,114",https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
