,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Heart Part 5","Kendrick Lamar",2485132,https://open.spotify.com/track/5MMW4CZsZiZt2iuqAXzzWC
2,"As It Was","Harry Styles",1597795,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
3,"First Class","Jack Harlow",1591420,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
4,"Moscow Mule","Bad Bunny",1511118,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
5,"Tití Me Preguntó","Bad Bunny",1411208,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
6,"Después de la Playa","Bad Bunny",1368544,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
7,"Me Porto Bonito","Bad Bunny",1215331,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
8,"About Damn Time",Lizzo,1186118,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
9,Party,"Bad Bunny",1157708,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
10,Tarot,"Bad Bunny",1009090,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
11,"Dua Lipa","Jack Harlow",1005969,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
12,"Un Ratito","Bad Bunny",1000603,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
13,"WAIT FOR U (feat. Drake & Tems)",Future,973901,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
14,"Yo No Soy Celoso","Bad Bunny",961882,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
15,"Ojitos Lindos","Bad Bunny",923778,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
16,"Thought You Should Know","Morgan Wallen",888766,https://open.spotify.com/track/6NHpyYvJyQsg2nXXzGYc2R
17,Neverita,"Bad Bunny",854499,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
18,"PUFFIN ON ZOOTIEZ",Future,851519,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
19,"La Corriente","Bad Bunny",810984,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
20,"Heat Waves","Glass Animals",789502,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,Efecto,"Bad Bunny",786355,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
22,"Churchill Downs (feat. Drake)","Jack Harlow",739478,https://open.spotify.com/track/3EMp20j5E42MxfFbsEsIvD
23,"Otro Atardecer","Bad Bunny",738613,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
24,Aguacero,"Bad Bunny",711579,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
25,"Dos Mil 16","Bad Bunny",711239,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
26,"El Apagón","Bad Bunny",695854,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
27,Andrea,"Bad Bunny",677745,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
28,"Un Coco","Bad Bunny",669447,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
29,PROVENZA,"KAROL G",666143,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
30,"Me Fui de Vacaciones","Bad Bunny",656848,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
31,"Enséñame a Bailar","Bad Bunny",654365,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
32,"Un Verano Sin Ti","Bad Bunny",636514,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
33,"Something in the Orange","Zach Bryan",582625,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
34,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",561298,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
35,Callaita,"Bad Bunny",558391,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
36,Agosto,"Bad Bunny",547494,https://open.spotify.com/track/0wihfILRNOwE2156Shezc8
37,"STAY (with Justin Bieber)","The Kid LAROI",532247,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
38,"No Role Modelz","J. Cole",523705,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
39,"This Love (Taylor’s Version)","Taylor Swift",516152,https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv
40,Ghost,"Justin Bieber",507828,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
41,"good 4 u","Olivia Rodrigo",501273,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
42,"I'M ON ONE (feat. Drake)",Future,492072,https://open.spotify.com/track/6wyhUr4Xw8z5uSy0AhoZfU
43,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",488805,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
44,Woman,"Doja Cat",475365,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
45,"Nail Tech","Jack Harlow",473435,https://open.spotify.com/track/3ioJs8DQw527GmqJIp5gZG
46,"family ties (with Kendrick Lamar)","Baby Keem",472661,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
47,505,"Arctic Monkeys",458792,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
48,"Wasted On You","Morgan Wallen",452741,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
49,"Thousand Miles","The Kid LAROI",443220,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
50,"Wait a Minute!",WILLOW,434183,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
51,"Don't Think Jesus","Morgan Wallen",427972,https://open.spotify.com/track/1TUuhV75FeOF6UObRsABo2
52,"Sweater Weather","The Neighbourhood",427787,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
53,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,426995,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
54,"Need to Know","Doja Cat",426369,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
55,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",418452,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
56,"Good Looking","Suki Waterhouse",413767,https://open.spotify.com/track/5ZjV4yevHO1QhMw8AjyQbZ
57,"Dark Red","Steve Lacy",413749,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
58,"Cold Heart - PNAU Remix","Elton John",411628,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
59,"I Love You So","The Walters",409416,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
60,"Super Gremlin","Kodak Black",408073,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
61,"THATS WHAT I WANT","Lil Nas X",403909,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
62,"I'd Do Anything To Make You Smile","Jack Harlow",395797,https://open.spotify.com/track/7Bot6AB2dsvZEyqzUL8AUH
63,"MIDDLE OF THE NIGHT","Elley Duhé",391524,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
64,"See You Again (feat. Kali Uchis)","Tyler, The Creator",388938,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
65,MAMIII,"Becky G",388571,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
